Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Barbados;BRB;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11071.64797;10966.13882;10541.23241;10845.00633;11273.68295;11723.09406;12400.82232;13207.17806;13851.24542;14089.91532;15075.95101;15030.00683;15283.41194;15826.66356;16387.82602;17478.13018;19019.13374;19846.04229;20250.11414;19253.26878;18977.54268;19165.01013;17936.99373;18004.66912;17752.51772;17804.749;18013.67344;17898.89946;18551.16865;18760.37001;15824.49107;15683.88471;19786.36152;21336.15756;22671.94669
Brunei Darussalam;BRN;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70200.74062;72609.80623;70015.77112;69387.25635;69778.57689;70440.02191;70007.64124;73980.41134;68256.86997;70584.60971;73086.93198;74253.88172;76838.17586;79632.1722;80403.75793;81534.17166;86114.33722;83693.32134;80476.72489;77957.14426;79542.67788;82735.39148;87256.04223;83237.14709;81225.54848;62707.82636;56679.51858;61657.68028;65148.82645;69353.67987;69787.96334;78248.79711;81801.74591;85032.60087;90007.07749
Bhutan;BTN;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1637.871812;1656.841736;1840.090348;2001.134672;2145.745667;2373.568467;2547.838122;2682.594782;2818.995725;3017.488763;3113.045439;3338.492469;3662.809072;3942.281446;4172.782171;4523.359706;4860.270172;5728.915695;6035.217411;6466.097449;7245.772635;7935.46761;8577.407319;8666.910636;9323.394489;10213.81396;11273.28238;11677.41427;11969.5615;12909.10098;12475.048;13458.81267;15063.81058;16253.96295;
Botswana;BWA;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5978.027024;6462.672647;6614.080887;6705.827328;6903.485002;7348.40042;7727.998159;8321.935661;8267.594111;8998.599023;9187.363776;9225.970543;9752.848308;10223.96828;10595.56228;11222.46057;12304.46718;13113.24885;13526.19118;11445.72764;12490.89232;13354.86178;12474.51317;13340.87826;15003.31975;14143.69407;16228.12312;15700.66505;15785.81963;15960.01561;15292.26247;17960.62544;19976.83438;21012.1032;20538.13202
Central African Republic;CAF;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;620.3911765;618.1795179;573.1505893;570.2456378;592.1854376;630.6916814;600.7729679;626.0784538;645.1299944;659.524563;639.836997;668.4459393;688.1804511;648.1932154;690.426514;702.4606246;743.2874802;783.3554453;797.6528062;877.2521311;936.4854974;980.185521;1062.068099;709.8534812;698.9637389;768.870888;826.0133014;883.8107349;905.8177889;984.8431837;1066.290054;1128.55238;1217.849771;1257.094357;1263.595543
Canada;CAN;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20229.75587;20224.68733;20626.20206;21440.04699;22632.83409;23485.64193;24050.17501;25258.86056;26319.67416;27841.35335;29362.08416;30230.84877;30963.92189;32351.5457;33927.6697;36328.37899;38119.39096;39575.47701;40376.08828;38864.0567;40098.25372;41666.83746;42291.97294;44301.05625;45758.10073;44669.45136;46470.64664;48317.38745;49982.59991;50498.97311;48590.68321;56995.11768;63578.32019;64462.92117;65463.0991
Central Europe and the Baltics;CEB;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7530.712877;6976.071364;6831.411949;7022.104492;7438.382004;8015.759273;8423.705632;8724.541254;9116.078884;9417.530406;10035.74122;10821.85921;11641.21505;12342.17247;13494.40579;14308.06403;15918.14705;17751.10903;19673.08624;19698.80251;20867.2996;22364.75292;23159.51764;23943.79815;25048.25004;26292.62155;27955.58354;30076.5486;32344.78613;35905.32794;36492.41493;40160.75267;44791.36597;46523.71984;49767.86471
Switzerland;CHE;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28442.3316;28773.01394;29093.32385;29475.75005;30245.37597;30821.43705;31497.74196;32728.01142;33857.65317;34742.63186;36695.20706;37822.92751;38704.95846;38737.30793;40176.57074;41524.84887;46275.54948;50929.4927;53808.78411;52971.37328;54432.33299;57493.58106;59440.91586;61656.46617;63417.04381;65282.58419;67350.75187;68193.50559;70688.81875;73732.23533;72997.82395;81001.41112;91326.1317;90505.99788;93818.70748
Channel Islands;CHI;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4444.572092;4885.628639;5563.313536;6060.951085;6475.711818;7231.793986;7895.436781;8510.666985;8850.491716;8838.759172;9375.590084;9775.553235;10133.40411;10708.82365;11612.39969;12550.4348;15510.77007;16697.51602;16375.96485;15951.33049;17917.89512;20121.68342;21366.17713;22201.06607;22553.61618;22457.88006;23256.5036;24295.22377;25305.09035;25611.75783;25350.86351;29089.85046;30820.3527;32801.37864;34637.11683
